system:index,date,month,ndvi_mean,year,.geo
0,2019-01,1.0,0.33219027748615904,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2019-02,2.0,0.2810431135453317,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2019-03,3.0,0.2581626982702264,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2019-04,4.0,0.27586045885353566,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2019-05,5.0,0.329070326834439,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2019-06,6.0,,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2019-07,7.0,,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2019-08,8.0,,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2019-09,9.0,,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2019-10,10.0,,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2019-11,11.0,0.343631393136648,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2019-12,12.0,0.35827938276791266,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2020-01,1.0,0.3286553683674571,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2020-02,2.0,0.32104969336624556,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2020-03,3.0,0.3214901294817324,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2020-04,4.0,0.3281272145096066,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2020-05,5.0,0.36475198580496226,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2020-06,6.0,,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2020-07,7.0,,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2020-08,8.0,,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2020-09,9.0,,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2020-10,10.0,,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2020-11,11.0,,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2020-12,12.0,0.38168496639386396,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2021-01,1.0,0.4053126739838129,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2021-02,2.0,0.3634969657809741,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2021-03,3.0,0.3515763474250365,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2021-04,4.0,0.28022364447821574,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2021-05,5.0,0.377177086802081,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2021-06,6.0,0.39312530302012616,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2021-07,7.0,,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2021-08,8.0,,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2021-09,9.0,,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2021-10,10.0,,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2021-11,11.0,,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2021-12,12.0,0.4418783080205819,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2022-01,1.0,0.38935905775490015,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2022-02,2.0,0.3374599150186248,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2022-03,3.0,0.3369725481594134,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2022-04,4.0,0.3629240946974724,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2022-05,5.0,0.4179742314592375,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2022-06,6.0,,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2022-07,7.0,,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2022-08,8.0,0.41299636938678996,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2022-09,9.0,,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2022-10,10.0,0.45995188739235027,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2022-11,11.0,,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2022-12,12.0,0.42545266273779686,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2023-01,1.0,0.39670771844181085,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2023-02,2.0,0.3593391428508699,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2023-03,3.0,0.3556484857995405,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2023-04,4.0,0.3742047577232208,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2023-05,5.0,0.4213657260909062,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2023-06,6.0,,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2023-07,7.0,,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2023-08,8.0,0.42556503185256733,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2023-09,9.0,,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2023-10,10.0,0.44347781778568,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2023-11,11.0,0.4308954077895978,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2023-12,12.0,,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
